ST	penA	mtrR	porB	ponA	gyrA	parC	23S
1561	19.001	38	44	1	7	1	100
1565	14.001	159	44	100	100	7	100
1564	14.002	29	44	100	100	7	100
1569	2.002	225	12	100	1	4	100
1571	2.002	163	14	1	1	4	100
1572	5.002	122	14	1	7	3	2
1573	81.001	3	1	100	100	2	2
1574	87.001	16	8	1	7	3	100
1575	43.003	1	12	1	7	6	100
1576	9.002	25	3	1	100	2	100
1577	12.005	1	8	1	1	3	100
1578	69.001	1	8	1	1	31	100
1579	22.009	36	5	1	100	1	100
1580	11.001	1	3	1	100	2	100
1581	11.001	18	3	1	100	2	100
1582	34.009	1	11	1	1	3	100
1583	19.001	10	100	1	1	49	100
1584	9.001	10	100	1	100	49	100
1585	14.001	101	3	1	100	7	100
1586	14.001	10	13	1	7	7	100
1587	34.01	1	11	1	1	3	100
1588	9.003	25	4	1	100	2	100
1589	11.001	1	100	1	100	2	100
1590	12.006	1	8	1	1	3	100
1591	22.001	98	14	1	1	49	100
1592	22.001	116	100	1	100	2	100
1593	9.001	10	14	1	1	49	100
1595	2.014	10	13	1	7	20	100
1596	44.002	16	10	1	1	45	2
1597	82.001	1	1	1	1	3	100
1598	9.006	1	8	1	100	2	100
1599	2.001	15	44	1	100	1	100
1600	2.001	1	5	1	1	3	100
1601	12.001	1	13	1	1	3	100
1602	2.001	1	44	1	100	2	100
1603	14.001	10	13	1	7	22	100
1604	60.001	1	8	1	7	82	100
1605	60.001	1	21	1	7	3	100
1606	60.001	1	8	1	7	3	2
1607	19.001	38	14	1	7	26	100
1608	2.002	10	14	100	100	7	100
1609	108.001	25	8	2	7	53	100
1610	108.001	25	8	1	7	5	100
1611	121.001	25	8	1	7	53	100
1612	121.001	25	8	1	7	5	100
1613	9.001	1	21	1	1	10	100
1614	14.001	29	3	100	100	2	100
1615	5.002	122	1	1	7	3	100
1616	14.001	10	3	100	100	1	29
1617	14.001	1	3	1	100	2	100
1618	60.001	1	8	1	7	3	4
1619	34.011	1	11	100	1	3	100
1620	10.003	25	12	1	21	47	100
1621	60.001	1	12	13	7	3	100
1622	60.001	1	12	1	7	3	31
1623	9.001	69	19	1	1	22	100
1624	2.002	10	13	1	1	4	100
1625	19.001	18	100	1	7	55	100
1626	14.001	171	3	100	1	4	100
1627	2.002	10	100	1	1	4	100
1628	19.001	18	100	1	7	20	100
1629	14.001	10	3	1	1	100	100
2125	103.002	47	14	1	7	113	100
1631	1.008	69	14	100	100	2	100
1632	19.001	18	100	1	7	15	100
2126	19.001	69	13	1	7	114	100
1636	1.001	54	14	100	100	2	100
2127	14.001	14	100	100	100	115	100
2131	2.002	295	13	1	7	3	100
2133	2.002	297	3	100	100	7	100
2135	19.001	299	100	1	7	15	100
2137	19.001	301	100	1	7	15	100
2160	19.001	38	4	1	7	26	100
2162	9.001	74	27	100	7	10	100
2164	5.002	2	17	100	1	3	100
2165	43.002	1	23	1	7	2	100
2166	14.001	29	3	100	41	7	100
2169	14.001	29	44	100	100	7	2
2172	131.001	25	3	100	100	100	1
2186	14.001	14	1	100	37	3	100
2188	2.001	16	1	1	100	2	100
2189	10.007	19	12	1	7	3	100
2201	60.001	1	9	1	7	3	100
2210	9.001	54	1	1	1	22	100
2211	9.001	1	3	1	1	22	100
2237	19.007	54	100	1	7	15	100
2238	60.001	1	8	1	7	53	2
2239	60.001	1	4	1	7	3	100
2241	2.002	78	100	100	1	59	100
2387	13.001	19	11	1	34	93	100
2388	21.001	16	11	1	7	117	100
2389	21.001	47	8	1	7	93	100
2390	10.001	33	11	1	2	121	100
2391	18.001	38	100	1	7	15	100
2392	142.001	16	8	1	7	6	100
2393	120.001	1	48	1	7	3	100
2394	147.001	16	4	1	7	6	100
2395	43.001	1	8	1	7	122	2
2396	145.001	25	11	1	1	3	100
2397	43.001	16	4	1	7	119	100
2398	103.002	47	14	1	7	21	100
2399	34.001	38	13	1	7	103	100
2400	43.002	16	8	1	7	125	100
2401	18.001	40	13	100	7	34	100
2402	34.007	40	11	100	7	21	100
2403	12.001	192	8	1	7	3	100
2404	44.001	40	9	100	1	34	100
2405	103.001	1	8	1	1	117	100
2406	2.002	19	100	100	7	4	100
2407	144.001	47	14	1	7	21	100
2408	2.002	40	100	100	1	5	100
2409	43.002	1	8	100	1	126	100
2410	12.001	192	8	1	7	62	100
2411	10.003	247	8	1	7	9	100
2412	146.001	1	8	1	7	120	100
2413	34.006	40	100	100	7	3	100
2414	34.018	40	100	100	7	4	100
2415	13.003	40	100	100	1	34	100
2416	143.001	1	13	1	7	125	100
2417	2.002	288	4	1	7	3	100
2418	5.002	288	8	1	7	3	100
2419	10.003	307	8	1	7	21	100
2420	34.006	307	3	1	7	4	100
2421	13.001	316	12	1	7	9	100
2422	13.001	314	4	1	7	22	100
2423	21.001	306	8	1	7	21	100
2424	18.001	308	12	1	2	24	100
2425	21.001	313	8	1	1	23	100
2426	34.007	122	100	100	7	4	100
2427	43.002	310	8	1	7	3	100
2428	5.002	317	100	1	7	3	100
2484	13.001	22	8	1	34	129	100
2487	10.001	33	54	1	2	5	100
2490	21.001	16	13	1	21	3	100
2494	21.001	10	55	1	7	3	100
2495	13.001	25	54	1	7	53	100
2496	13.001	19	53	1	7	9	100
2497	10.003	1	11	1	7	47	100
1630	2.008	54	13	100	100	2	100
1633	2.008	42	100	100	100	2	100
1634	2.002	10	13	100	1	4	100
1635	19.001	18	3	1	7	20	100
1637	14.001	105	13	100	100	100	100
1638	10.001	235	12	1	2	5	100
1639	2.002	10	4	1	1	4	100
1640	2.008	54	100	100	1	2	100
1641	19.001	54	100	1	7	15	100
1642	19.001	18	100	1	1	22	100
1643	19.001	18	13	1	7	15	100
1644	2.002	10	13	100	22	49	100
1645	19.001	54	100	100	100	1	100
1646	14.001	10	3	100	7	18	100
1647	2.001	10	14	100	6	4	100
1648	14.001	10	13	100	100	4	100
1649	2.002	10	100	1	1	49	100
1650	19.001	1	14	1	1	49	100
1651	19.001	10	100	100	1	4	100
1652	9.001	18	13	1	7	15	100
1653	19.001	18	100	1	1	4	100
1654	2.002	10	100	1	100	89	100
1655	14.001	58	13	100	7	20	100
1656	43.002	1	13	1	7	3	100
1657	2.002	1	1	100	7	3	100
1658	2.002	89	100	100	7	20	100
1659	19.001	124	14	100	1	20	100
1660	2.001	1	100	100	7	3	100
1661	2.002	89	3	100	7	4	100
1662	14.001	18	13	100	7	20	100
1663	2.002	174	11	100	1	4	100
1664	2.008	54	100	1	7	20	100
1665	14.001	49	14	100	7	20	100
1666	2.002	10	100	100	7	4	6
1667	2.002	174	100	100	1	4	100
1668	19.001	10	13	100	7	26	100
1669	2.002	174	13	100	1	4	100
1670	14.001	18	100	100	7	22	100
1671	14.001	203	13	100	7	20	100
1672	18.001	25	24	1	7	43	100
1673	2.002	89	9	100	7	4	100
1674	19.001	10	13	1	7	3	100
1675	2.002	225	100	100	1	4	100
1676	19.001	174	100	100	7	20	100
1677	2.002	38	100	100	7	55	100
1678	10.001	233	8	1	2	5	2
1679	34.017	40	100	100	7	4	100
1680	10.001	234	8	1	2	24	2
1681	10.001	33	8	1	30	5	100
1682	10.001	33	8	1	31	5	100
1683	10.001	234	8	1	7	3	100
1684	13.001	25	8	1	1	53	100
1685	10.003	1	12	1	7	25	100
1686	13.002	1	11	1	21	3	100
1687	21.001	1	12	1	7	3	100
1688	43.001	1	8	1	7	8	100
1689	43.002	1	12	1	7	80	100
1690	13.002	1	21	1	7	3	100
1691	13.001	192	8	1	1	9	100
1692	43.002	1	12	1	21	23	100
1693	13.001	1	8	1	1	1	100
1694	10.001	33	8	1	2	9	100
1695	18.001	1	11	1	7	3	100
1696	13.002	1	8	1	7	3	100
1697	18.001	16	8	1	7	3	100
1698	10.003	1	12	1	7	47	100
1699	13.001	25	8	1	7	3	100
1700	2.002	1	8	1	7	23	100
1701	18.001	59	8	1	7	22	100
1702	18.001	192	8	1	1	25	100
1703	18.001	1	8	1	7	48	1
1704	10.001	33	17	1	2	5	100
1705	13.002	1	11	1	7	3	100
2138	19.001	301	12	1	7	15	100
1707	13.002	1	12	1	7	3	100
1708	13.001	25	9	1	7	53	100
2139	19.001	302	13	1	7	3	100
2140	2.002	287	3	1	1	3	100
2143	34.001	1	50	1	1	3	100
2161	9.001	1	17	1	2	10	100
2163	9.001	1	17	1	100	2	100
2167	14.001	29	44	100	100	7	100
2168	14.001	29	100	100	100	7	2
2170	14.001	10	14	1	7	7	100
2171	34.008	42	100	100	10	2	100
2187	2.001	39	100	100	7	4	100
2202	34.007	305	100	100	7	4	100
2212	134.001	19	3	1	7	3	100
2213	132.001	10	100	100	100	1	100
2215	135.001	49	13	100	7	20	100
2217	137.001	10	100	100	100	2	100
2220	139.001	292	4	100	100	1	100
2221	14.009	15	3	100	100	7	100
2225	3.004	88	100	100	100	19	100
2226	34.018	1	11	1	1	3	100
2227	44.004	9	1	100	100	100	100
2240	93.001	311	3	100	100	100	1
2242	93.001	311	13	100	100	100	1
2429	2.002	1	4	1	7	3	100
2430	5.002	1	4	1	7	3	100
2431	5.002	1	11	1	7	3	100
2432	5.002	16	4	1	7	3	100
2433	13.002	1	13	1	7	3	100
2434	11.001	1	4	1	7	15	100
2435	5.002	16	8	1	7	3	100
2436	5.002	1	11	1	1	22	100
2437	13.001	1	8	1	1	22	100
2438	21.001	1	13	1	7	3	100
2439	13.002	1	9	1	21	3	100
2440	13.002	1	12	1	21	3	100
2441	12.001	16	11	1	7	6	100
2442	13.002	25	4	1	7	3	100
2443	13.001	1	10	1	7	22	100
2444	12.007	1	11	1	7	22	100
2445	13.001	19	12	1	7	9	100
2446	5.002	33	12	1	7	3	100
2447	13.002	25	12	1	7	3	100
2448	21.001	19	11	1	7	3	100
2449	21.001	1	11	1	7	22	100
2450	2.001	1	11	1	1	52	100
2451	43.001	1	4	1	7	15	2
2452	13.001	19	8	1	21	9	100
2453	21.001	1	12	1	34	3	100
2454	43.001	1	8	1	7	15	2
2455	27.003	1	12	1	34	3	100
2456	43.001	1	12	1	7	15	2
2457	43.002	19	8	1	7	3	100
2458	43.002	19	12	1	7	3	100
2459	21.001	1	4	1	7	52	100
2460	43.004	25	8	1	2	10	100
2461	18.001	1	8	1	7	55	2
2462	43.004	25	4	1	7	10	100
2463	21.001	47	12	1	7	3	100
2464	10.003	1	12	1	21	47	100
2465	18.001	36	12	1	2	24	100
2466	18.001	47	11	1	7	10	100
2467	43.004	25	13	1	2	10	100
2468	13.001	1	12	1	1	68	100
2469	43.001	47	13	1	7	21	100
2470	12.001	1	8	1	34	93	100
2471	13.001	25	8	1	7	108	100
2472	27.003	1	12	1	34	93	100
2473	12.001	22	8	1	34	93	100
2474	12.001	22	13	1	34	93	100
2475	13.001	22	13	1	34	93	100
2476	2.002	40	13	100	7	34	100
2477	34.007	40	11	100	7	4	100
2478	21.001	172	13	1	1	9	100
2479	9.001	192	8	1	7	1	100
2480	2.002	40	100	100	1	34	100
2481	13.002	303	8	1	7	3	100
1706	18.001	1	8	1	7	24	100
1709	120.001	1	8	1	7	3	100
1710	13.002	1	8	1	1	3	100
1711	43.002	1	8	1	7	15	100
1712	2.001	251	11	100	7	4	100
1713	14.001	10	3	100	100	1	31
1714	127.001	25	1	100	100	2	100
1715	43.002	1	8	1	7	1	100
1716	10.001	33	8	100	2	5	100
1717	13.001	1	12	1	7	22	100
1718	13.001	25	11	1	7	53	100
1719	13.001	1	12	1	7	3	100
1720	14.001	58	100	100	7	20	100
1721	14.001	244	14	100	7	20	100
1722	14.001	49	1	100	7	20	100
1723	2.002	216	3	100	7	4	100
1724	14.001	49	100	100	7	20	100
1725	2.024	133	37	1	7	48	100
1726	2.002	174	14	100	33	4	100
1727	2.002	54	100	100	7	18	100
1728	19.001	10	100	100	7	55	100
1729	19.001	124	100	100	7	20	100
1730	2.008	10	13	1	7	20	100
1731	14.001	5	14	100	100	7	100
1732	12.001	36	8	1	100	2	100
1733	4.001	16	8	1	100	1	100
1734	12.001	36	11	1	100	2	100
1735	128.001	33	4	1	2	5	100
1736	125.001	19	8	1	7	3	100
1737	87.002	16	8	1	7	3	100
1738	43.004	1	8	1	7	3	100
1739	10.003	246	8	1	7	21	100
1740	10.003	247	8	1	7	21	100
1741	18.001	22	8	1	34	93	100
1742	13.001	25	8	1	7	94	100
1743	21.001	248	8	1	7	3	100
1744	10.004	33	12	1	2	5	100
1745	126.001	59	8	1	7	22	100
1746	9.001	1	1	1	1	22	100
1747	9.001	236	100	1	1	49	100
1748	22.001	10	100	100	7	26	100
1749	2.008	54	100	100	100	2	100
1750	2.008	54	4	1	2	34	100
1751	2.002	89	37	100	7	4	100
1752	2.002	252	13	100	7	4	6
1753	19.001	18	100	1	1	15	100
1754	19.001	18	100	100	100	2	100
1755	19.001	237	100	1	7	15	100
1756	14.001	10	14	1	1	2	100
1757	14.001	239	13	100	1	4	12
1758	14.001	171	3	100	1	90	100
1759	14.001	10	100	100	1	4	100
1760	14.001	10	100	1	100	89	100
1761	14.001	240	13	100	7	3	100
1762	19.001	38	14	1	7	91	100
1763	19.001	47	100	1	7	17	32
1764	19.006	18	12	1	7	26	100
1765	2.001	10	100	100	100	1	100
1766	2.001	242	14	1	1	26	100
1767	9.001	238	100	1	1	22	100
1768	19.007	18	100	1	7	20	100
1769	2.002	171	100	100	1	90	100
1770	2.001	171	3	100	1	90	100
1771	2.002	10	100	100	1	4	100
1772	14.007	10	14	100	100	7	100
1781	19.001	124	3	100	1	81	100
1782	2.002	89	100	100	7	84	100
1783	2.002	10	100	100	7	84	6
1784	2.002	89	13	100	7	84	100
1785	2.002	216	11	100	7	84	6
1786	19.001	38	12	1	7	87	100
1787	21.001	1	8	1	7	92	100
1788	2.002	225	13	100	1	84	100
1789	14.001	18	13	100	7	81	100
1791	14.001	58	13	100	7	81	100
1792	2.002	1	48	1	7	82	30
1793	2.002	89	1	100	7	84	100
1794	69.001	64	11	100	7	81	100
1797	14.001	18	14	100	7	81	100
1798	2.002	89	12	100	7	84	100
1799	2.002	89	12	100	7	88	100
1800	2.002	89	37	100	7	84	100
1802	2.002	10	100	100	1	87	100
1803	19.006	18	12	1	7	87	100
1804	2.002	40	1	100	7	4	100
1805	5.002	122	11	1	7	3	100
1807	34.001	1	6	1	1	3	100
1808	14.008	10	3	100	100	1	31
1809	2.002	40	1	1	7	4	100
1810	78.002	122	14	1	7	3	100
1811	21.001	15	100	100	100	7	100
1812	2.002	40	3	100	1	3	100
1813	3.003	256	8	1	7	3	2
1815	5.002	222	14	1	7	3	2
1816	5.002	122	8	1	7	3	100
1817	14.001	10	3	100	100	1	30
1818	34.001	9	1	100	7	3	100
1819	2.001	9	3	100	100	3	100
1820	14.008	10	3	100	100	1	6
1821	14.008	10	3	100	100	1	29
1822	2.001	1	1	1	100	1	100
1823	14.008	10	3	100	100	1	100
1824	5.002	122	13	1	7	3	100
1825	9.001	82	14	100	100	2	100
1827	5.002	122	3	1	100	3	100
1828	43.002	122	14	1	7	3	100
1830	19.001	69	14	100	7	55	100
1831	2.002	19	14	100	1	68	100
1832	5.002	257	14	1	7	3	100
4524	226.001	40	1	1	7	3	100
1833	14.001	171	13	100	1	90	100
1834	2.002	253	100	100	100	2	100
1835	2.002	69	100	100	100	2	100
1836	123.001	241	100	100	1	18	100
1837	2.002	243	1	100	1	18	100
1838	69.001	245	14	100	7	20	100
1839	2.024	133	13	1	7	48	100
1840	13.001	22	8	1	34	93	100
1841	19.001	47	12	1	7	15	100
1842	14.001	47	3	1	7	17	100
1843	129.001	40	100	100	7	4	100
1844	2.026	27	1	100	100	2	100
1845	9.001	105	1	100	100	2	100
1846	2.002	9	3	1	7	3	100
1847	5.002	19	3	1	1	3	100
1848	2.001	58	11	1	100	2	100
1849	2.002	40	9	100	7	3	100
1850	19.001	38	12	1	7	95	100
1851	19.001	89	14	100	7	82	100
1852	2.002	216	3	100	7	84	6
1853	2.002	89	3	100	7	84	100
1854	2.002	18	14	100	7	20	100
1855	2.002	249	37	100	7	84	100
1856	19.008	10	100	1	7	15	100
1858	19.001	49	1	100	7	81	100
1859	14.001	250	46	100	7	81	100
1860	14.001	49	14	100	7	81	100
1861	2.002	174	11	100	1	84	100
1862	19.001	10	14	1	7	87	100
1863	34.001	1	35	1	1	3	100
1864	14.001	18	13	100	7	22	100
1865	19.001	18	14	1	7	20	100
1866	2.001	222	11	100	7	4	100
1867	2.002	9	1	1	7	3	100
1868	14.002	16	1	100	100	7	6
1869	5.002	40	1	1	7	3	100
1870	14.001	10	3	100	100	1	27
1871	2.002	18	100	100	100	96	100
1872	14.001	10	1	100	100	1	100
1873	19.001	261	13	1	7	3	100
1874	14.008	16	3	1	1	3	100
1875	2.001	260	13	100	100	100	100
1876	2.002	89	100	100	1	4	100
1877	5.002	137	100	1	1	3	100
1878	2.001	15	8	1	100	1	100
1879	9.001	18	100	1	1	22	100
1880	2.002	258	14	100	100	2	100
1881	63.001	1	3	1	100	2	100
1882	2.002	42	13	100	10	2	100
1883	18.001	19	14	100	7	3	100
1884	93.001	259	3	100	100	100	100
1885	19.001	163	100	100	7	20	100
1886	34.001	1	3	1	7	3	100
1887	94.001	42	100	100	10	2	100
1888	2.002	18	14	100	100	100	100
1889	2.026	24	1	100	100	2	100
1890	14.001	10	14	100	1	22	100
1891	2.002	25	1	100	100	2	100
1892	12.001	161	13	1	16	49	8
1893	14.001	29	8	100	1	7	100
1894	12.001	161	13	1	16	49	100
1895	2.002	19	9	1	7	3	100
1896	19.001	124	13	100	23	20	100
1897	2.002	42	1	100	10	2	100
1898	2.001	1	1	1	7	2	100
1899	2.022	19	11	1	25	10	100
1900	2.002	40	11	100	7	4	100
1901	2.002	10	100	1	1	55	100
1902	2.001	54	1	100	1	22	22
1903	14.001	29	1	100	1	7	100
1904	2.027	14	100	100	35	1	100
1905	14.001	47	13	1	7	17	100
1906	2.001	24	1	100	100	2	2
1907	2.001	211	13	100	1	22	33
1908	34.007	54	1	100	7	4	100
1909	130.001	5	13	100	100	100	100
1910	14.001	47	3	1	7	15	100
1911	130.001	260	13	100	100	100	100
1912	2.002	274	11	100	7	4	100
1913	2.002	274	1	100	7	4	100
1914	14.001	10	3	100	100	1	7
1915	5.002	1	3	1	1	1	31
1916	15.003	275	14	100	1	26	100
1917	78.002	39	11	100	7	4	2
1918	34.001	40	1	100	7	3	100
1919	2.001	5	3	100	100	100	100
1920	34.007	274	100	100	7	4	100
1921	2.001	54	14	100	1	22	22
1922	2.001	211	1	100	1	22	33
1923	14.001	14	1	100	1	3	100
1924	2.001	24	1	100	7	4	1
1925	34.001	130	11	100	1	3	100
1926	19.001	38	37	1	7	15	100
1927	2.002	47	14	100	7	4	100
1928	2.001	47	1	100	7	4	1
1929	2.002	10	3	100	1	89	100
1930	2.002	10	3	100	1	102	100
1931	19.001	10	14	1	7	26	100
1932	9.001	10	23	1	1	55	100
1933	19.001	10	100	1	7	26	100
1934	2.002	18	14	1	1	4	100
1935	19.001	18	3	1	7	102	100
1936	19.001	18	100	1	100	89	100
1937	19.001	18	3	1	1	4	100
1938	2.002	40	3	100	7	4	100
1939	1.001	54	14	1	7	26	100
1940	9.001	69	14	1	1	22	22
1941	2.002	171	13	100	1	90	100
1942	19.001	278	100	100	100	103	100
1943	9.001	276	14	1	1	49	100
1944	14.001	277	41	100	1	4	100
1945	19.001	279	24	1	7	15	100
1946	2.002	280	14	1	1	4	100
1947	2.028	40	13	100	7	4	100
1948	14.001	10	100	100	100	1	31
1949	2.029	25	11	1	2	22	100
2141	34.001	291	11	1	1	3	100
2142	14.001	15	14	100	100	7	38
2144	2.001	9	50	100	100	100	100
2173	2.002	304	13	100	1	18	100
2175	14.001	10	100	100	100	1	37
2178	5.002	40	3	1	7	3	100
2190	5.002	19	8	1	1	3	100
2203	2.001	24	13	100	100	2	2
2204	34.007	305	14	100	7	4	100
2214	133.001	1	11	1	1	3	100
2216	136.001	3	1	100	100	2	100
2218	137.001	10	14	100	100	2	100
2219	138.001	15	100	1	7	38	100
2222	140.001	49	1	100	7	20	100
2223	19.009	24	12	1	7	15	100
2224	2.03	9	1	100	100	1	100
2228	44.004	16	100	1	1	45	100
2229	44.004	16	100	1	7	45	100
2230	5.006	1	3	1	1	3	100
2231	67.002	10	14	100	100	1	100
2232	93.002	15	1	100	44	7	100
2243	2.002	1	10	1	7	3	100
2244	2.002	1	8	1	7	6	1
2245	5.002	1	9	1	7	3	100
2246	2.001	1	13	1	7	3	100
2247	5.002	1	10	1	7	3	100
2248	13.001	1	13	1	1	1	100
2249	2.001	1	4	1	1	22	100
2250	2.002	1	12	1	7	8	100
2251	10.001	1	8	1	7	5	100
2252	13.002	1	8	1	7	2	100
2253	17.001	1	10	1	1	3	100
2254	17.001	1	11	1	1	3	100
2255	2.002	19	8	1	1	3	100
2256	13.001	1	10	1	7	3	100
2257	18.001	1	11	1	1	3	100
2258	12.001	1	12	1	7	3	100
2259	13.004	1	11	1	7	3	100
2260	21.001	1	4	1	7	3	100
2261	17.001	1	8	1	7	3	100
2262	2.002	19	1	8	1	7	3
2263	13.002	1	13	1	7	3	8
2264	5.002	16	4	1	7	6	100
2265	5.002	19	12	1	1	3	100
2266	21.001	1	9	1	7	3	100
2267	5.002	19	8	1	7	3	100
2268	5.002	1	13	1	1	22	100
2269	5.002	16	11	1	7	3	100
2270	18.001	1	11	1	7	6	1
2271	2.001	1	13	1	7	22	100
2272	17.001	16	8	1	1	3	100
2273	13.001	19	4	1	7	3	100
2274	10.001	19	12	1	2	5	100
2275	18.001	16	4	1	7	3	100
2276	21.001	1	12	1	7	8	100
2277	13.001	19	8	1	7	3	100
2278	13.002	19	8	1	7	3	100
2279	18.003	1	21	1	7	3	100
2280	13.002	1	13	1	21	3	100
2281	13.001	19	4	1	7	9	100
2282	12.001	16	11	1	7	6	1
2283	12.001	1	8	1	7	24	24
2284	17.001	19	12	1	1	3	100
2285	13.002	16	11	1	7	6	100
2286	10.003	1	10	1	7	25	100
2287	12.001	16	13	1	7	6	100
2288	13.001	1	11	1	7	22	100
2289	13.001	19	13	1	1	9	100
2290	13.001	19	12	1	1	10	100
2291	5.002	1	8	1	7	34	100
2292	13.002	1	13	1	7	21	100
2293	43.002	1	8	1	2	3	100
2294	21.001	19	8	1	7	3	2
2295	43.002	1	4	1	7	3	100
2296	10.004	33	8	1	2	5	100
2297	21.001	1	8	1	7	22	100
2298	5.002	1	24	1	7	22	100
2299	13.002	25	11	1	7	3	100
1950	9.001	105	3	100	100	2	100
1951	44.001	282	100	1	1	10	2
1952	2.001	1	1	1	100	2	31
1953	121.001	1	4	1	7	105	100
1954	2.002	89	14	100	1	26	100
1955	69.001	281	14	100	7	20	100
1956	2.008	10	100	1	7	15	100
1957	43.002	10	13	100	7	6	100
1958	2.002	54	100	100	100	2	100
1959	14.001	14	3	100	1	3	100
1960	5.005	257	14	1	7	3	100
1961	60.001	1	8	1	38	3	100
1962	2.001	10	100	1	1	22	100
1963	100.001	29	100	100	100	7	100
1964	2.001	9	3	100	100	3	2
1965	103.004	38	12	1	7	55	100
1966	14.001	10	13	1	7	7	35
1967	43.002	284	1	100	7	6	100
1968	2.001	283	14	1	100	1	100
1969	5.002	222	1	1	7	3	100
1970	2.001	39	1	100	7	4	2
1971	2.001	39	1	100	7	4	31
1972	2.001	171	100	100	1	90	100
1973	19.001	54	14	100	100	1	100
1974	5.002	19	21	100	1	22	100
1975	13.001	19	3	1	7	9	100
1976	2.002	10	14	100	7	26	100
1977	43.004	25	13	1	2	45	100
1978	69.001	10	13	100	1	4	100
1979	69.001	54	13	100	1	22	100
1980	2.002	285	1	100	7	4	100
1981	93.001	25	3	100	100	100	1
1982	2.001	39	11	100	7	4	35
1983	2.002	89	14	100	7	59	100
1984	22.001	50	3	100	100	1	2
1985	124.001	18	4	100	100	100	100
1986	130.001	33	100	100	100	99	34
1987	124.001	16	13	1	100	101	34
1988	130.001	272	13	15	100	99	34
1989	19.007	14	100	1	7	97	34
1990	2.023	10	47	12	1	2	28
1991	5.002	22	8	1	7	3	1
1992	19.007	271	100	1	36	100	34
1993	2.001	39	11	100	100	100	1
1857	34.007	122	1	100	7	6	100
1994	15.001	3	44	100	100	2	2
1995	15.001	3	44	100	100	2	100
1996	2.001	25	42	100	100	100	1
1997	2.001	9	44	100	100	100	100
1998	2.001	9	44	100	100	1	100
1999	2.001	10	100	100	100	7	100
2001	67.001	9	1	100	100	100	100
2002	2.007	9	1	100	100	100	2
2004	14.001	10	44	100	100	7	100
2005	69.001	54	3	100	7	20	100
2006	69.001	10	29	100	100	17	100
2007	70.001	54	100	100	3	100	100
2008	2.011	82	3	100	100	2	100
2009	73.001	25	3	100	100	100	100
2010	2.012	10	14	100	100	7	100
2011	76.001	25	1	100	100	2	2
2012	79.001	25	3	100	100	100	2
2013	1.004	5	100	100	100	1	100
2014	1.007	5	100	100	100	1	100
2015	1.007	5	100	100	14	1	100
2016	62.001	3	44	100	100	2	2
2017	103.003	1	8	1	1	3	100
2018	2.006	14	100	100	100	1	100
2019	19.001	5	14	1	7	15	100
2020	103.002	38	13	1	7	1	100
2021	103.002	38	12	1	7	26	100
2022	12.001	15	13	100	100	1	100
2023	13.001	35	100	1	100	7	100
2024	14.001	5	13	1	7	20	100
2025	14.001	10	1	100	100	19	10
2145	2.002	15	4	1	37	7	100
2026	14.001	14	1	100	100	1	100
2028	14.001	15	100	100	100	7	100
2146	19.001	14	100	100	100	1	100
2029	14.001	10	19	100	100	1	100
2174	2.001	39	14	100	7	4	100
2035	2.002	10	100	100	100	2	100
2176	14.01	10	1	100	100	2	100
2036	2.002	10	14	1	100	1	100
2177	78.002	122	1	1	7	3	100
2037	2.002	10	4	100	100	7	100
2191	5.002	222	14	1	43	3	100
2038	2.002	15	4	1	100	7	100
2040	2.002	15	3	100	100	7	100
2205	14.011	47	3	1	7	118	100
2041	2.002	15	100	100	100	7	100
2042	2.002	15	100	100	100	1	100
2206	34.007	40	1	100	7	4	100
2043	14.001	29	13	100	100	1	100
2047	2.001	15	1	1	100	1	100
2233	100.014	18	39	1	7	81	100
2049	2.001	24	3	100	100	2	100
2300	18.001	19	8	1	7	8	100
2050	2.002	19	4	1	100	2	100
2301	21.001	19	10	1	7	3	100
2051	34.001	3	1	100	100	2	100
2302	18.001	19	13	1	7	3	100
2053	14.001	15	1	100	100	7	100
2303	21.001	1	9	1	7	22	100
2304	21.001	16	8	1	7	8	100
2305	13.002	25	13	1	7	3	100
2306	18.001	1	11	1	7	25	2
2307	43.002	1	8	1	7	3	2
2308	43.001	1	4	1	7	8	100
2309	10.001	33	8	1	7	5	100
2310	13.001	19	8	1	21	3	100
2311	21.001	1	10	1	7	25	100
2312	2.001	1	11	1	1	52	6
2313	10.001	1	8	1	1	47	100
2314	10.003	1	4	1	7	47	100
2315	43.001	1	4	1	7	15	6
2316	11.001	1	4	1	40	15	100
2317	43.004	1	4	1	1	22	100
2318	43.001	1	13	1	7	8	100
2319	12.001	19	12	1	7	23	100
2320	43.001	1	8	1	7	15	6
2321	10.001	33	9	1	2	21	100
2322	13.002	1	51	1	7	3	100
2323	21.001	1	8	1	7	39	100
2324	43.001	1	8	1	1	23	100
2325	18.002	25	8	1	2	24	100
2326	43.001	1	11	1	1	22	100
2327	13.001	47	8	1	7	3	100
2328	43.002	19	12	1	1	3	1
2329	43.004	1	11	1	1	22	100
2330	19.005	19	13	1	7	21	100
2331	21.001	1	4	1	7	48	100
2332	12.001	22	8	1	34	5	100
2333	21.001	36	9	1	7	8	100
2334	43.002	19	10	1	7	3	1
2335	13.002	47	12	1	7	3	100
2336	43.001	16	11	1	7	6	100
2337	34.006	36	3	1	7	4	100
2338	18.001	47	11	1	7	3	100
2339	5.002	25	46	1	7	3	100
2340	10.003	47	12	1	7	10	100
2341	2.002	19	13	1	1	53	100
